"indexbrawddeg","yfrawddeg","numberunits","valueunits","mediumval","rel_mediumval","mediumval_sq","rel_mediumval_sq","mediumval_nusq","rel_mediumval_nusq","mediumval_sq_nusq","rel_mediumval_sq_nusq","mediumval_hnu","rel_mediumval_hnu","mediumval_sq_hnu","rel_mediumval_sq_hnu","finished","tagref","tagcategory","tagfunction"
"310"," Ni a uydwn drostaw, heb Heueyd, yny uo ryd y wyr y uynet drostaw","14","0.337022","0.024073","0.117671","0.00811314","0.19385","0.0017195","0.00840505","0.00057951","0.0138464","0.00000004476","0.00000021879","0.0000000150851","0.000000360433","1",,,
"311"," Ac ar hynny y gollyngwyt ef o r got ac y rydhawyt y oreugwyr","14","0.437613","0.031258","0.152791","0.0136789","0.326833","0.00223272","0.0109137","0.000977065","0.0233452","0.0000000581195","0.000000284092","0.0000000254338","0.000000607695","1",,,
"312"," Gouyn ueithon y Wawl weicheu, heb yr Heueyd","8","0.137542","0.0171928","0.0840333","0.00236474","0.0564927","0.0021491","0.0105042","0.000295592","0.00706159","0.000000524683","0.00000256449","0.0000000721661","0.00000172402","1",,,
"313"," Ni a adwa","3","0.103106","0.0343688","0.168024","0.00354365","0.0846966","0.0114563","0.0560081","0.00118122","0.0282322","0.000141436","0.000691458","0.0000145829","0.000348546","1",,,
"314","enwn y neb a dylyer y kymryt y ganthaw","9","0.407906","0.0453229","0.221541","0.0184875","0.441723","0.00503588","0.0246157","0.00205417","0.0490804","0.000000767547","0.00000375181","0.000000313087","0.00000748062","1",,,
"315"," Riuaw y meicheu a wnaeth Heueyd","6","0.206363","0.0343939","0.168128","0.00709764","0.169603","0.00573232","0.0280214","0.00118294","0.0282671","0.00000442308","0.0000216214","0.000000912763","0.0000218111","1",,,
"316"," Llunnya dy hunn, heb y Guawl, dy ammot","8","0.137796","0.0172245","0.0841895","0.00237346","0.056703","0.00215306","0.0105237","0.000296683","0.00708788","0.00000052565","0.00000256926","0.0000000724324","0.00000173044","1",,,
"317"," Digawn yw gennyf i, heb y Pwyll, ual y llunnyawd Riannon","11","0.258387","0.0234897","0.114814","0.00606943","0.145004","0.00213543","0.0104376","0.000551766","0.0131822","0.000000145853","0.000000712904","0.0000000376864","0.000000900363","1",,,
"318"," Y meicheu a aeth ar yr ammot hwnnw","8","0.225991","0.0282489","0.138089","0.00638398","0.15255","0.00353111","0.0172612","0.000797998","0.0190687","0.000000862086","0.00000421416","0.000000194824","0.00000465545","1",,,
"319"," Ie, Arglwyd, heb y Guawl, briwedic wyf i, a chymriw mawr a geueis, ac ennein yssyd reit ymi, ac y ymdeith yd af i, gan dy gannyat ti","28","0.535723","0.019133","0.0935287","0.01025","0.244933","0.00068332","0.00334031","0.00036607","0.00874762","0.00000000111171","0.00000000543444","0.000000000595569","0.0000000142317","1",,,
